symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.321,1.28528,1.222755,1.05113452818,1.36222512757,1.24747487243,0.281480855647,0.0161052032688,0.015939224165,0.000165979103806
ACE,12.3,11.778,11.357175,1.03705366872,12.2043449549,11.5666550451,1.30000488837,0.0729218082743,0.0638793695112,0.00904243876303
ACO,5.85,6.263,5.571065,1.12420156649,6.30016827714,5.70533172286,-0.513586459673,-0.0751380453268,-0.0484991892623,-0.0266388560644
ADB,16.26,14.0272,10.07555,1.39220191454,17.9496952646,14.3913047354,0.0503036410799,0.497537953605,0.65337171579,-0.155833762185
AEF,1.392,1.25474,1.08373,1.15779760641,1.4551731938,1.3059268062,0.153437549604,0.0482386443983,0.053101618293,-0.00486297389469
AMP,10.25,9.6683,9.142375,1.05752608048,10.7525131549,9.60698684513,0.244865611217,0.210679887629,0.225572017877,-0.0148921302476
ASC,3.156,2.8476,2.70803,1.05153931086,3.14642836442,2.75857163558,1.04935655292,0.0782373223463,0.0594968789694,0.0187404433769
AST,6.2,6.0453,4.466535,1.35346527006,6.71638576816,5.75861423184,-0.0783067747952,0.114749732023,0.143549731593,-0.0287999995697
ATL,22.59,22.0148,22.1161,0.995419626426,22.8448429946,21.5561570054,0.60449171209,0.188966249908,0.154240215528,0.0347260343801
AZM,15.41,16.8154,15.43745,1.08926020813,17.4809081083,15.1790918917,-0.799368770964,-0.289340760327,-0.225555628799,-0.063785131528
BANZ,nan,nan,nan,nan,nan,nan,nan,0.0277768708475,0.0277778649877,-9.94140179202e-07
BB,nan,nan,nan,nan,nan,nan,nan,0.493371765006,0.493270882768,0.000100882238214
BEC,9.35,8.5338,7.565325,1.12801498944,9.65212412077,8.54937587923,0.45205240981,0.229159120989,0.223429184635,0.00572993635422
BET,1.02,0.88917,0.6410015,1.38715744035,1.10041585358,0.849784146422,0.358294650821,0.0514396588123,0.0471081401202,0.00433151869208
BFE,0.373,0.378332,0.3401815,1.11214748597,0.385191871241,0.358618128759,0.0824121781687,-0.000811903207626,-0.00142632554314,0.000614422335517
BMED,6.55,6.9579,6.49585,1.07113002917,7.27992097287,5.88207902713,0.155954684766,-0.124507111776,-0.166408488544,0.0419013767672
BMPS,nan,nan,nan,nan,nan,nan,nan,0.00676455329518,0.00811978010558,-0.0013552268104
BNS,0.58,0.5569,0.5466195,1.0188074154,0.599233165779,0.551766834221,0.189608080182,0.00936368975025,0.00944507367751,-8.13839272635e-05
BP,nan,nan,nan,nan,nan,nan,nan,0.101487510658,0.101487309399,2.01259576948e-07
BPE,4.546,4.98856,4.10664,1.21475464126,4.89614791727,4.09185208273,0.278504488495,-0.109691750545,-0.159436253218,0.0497445026728
BRE,65.0,62.305,54.94565,1.13393871944,66.5615770208,62.0234229792,0.752508612246,1.05815443489,1.07499454192,-0.016840107024
BRI,0.0513,0.05423,0.050529,1.07324506719,0.0538488063859,0.0509011936141,-0.729403814685,-0.000537872467026,-0.000519569422934,-1.8303044092e-05
BSS,24.51,20.17,15.7985,1.27670348451,24.9030550307,17.3519449693,0.895894768462,1.20398841599,0.809263822875,0.394724593116
BST,2.168,2.26404,2.175925,1.04049542149,2.30814799124,1.96105200876,0.192453970579,-0.0385590081617,-0.0500023690182,0.0114433608565
BZU,23.3,23.455,19.8074,1.18415339722,24.4705289892,22.8564710108,-0.450417525078,0.0386552450491,0.108985775588,-0.0703305305391
CAD,4.22,4.06988,3.67223,1.10828570106,4.19265916509,3.95334083491,1.22848926693,0.018964361359,0.010137050104,0.00882731125495
CAI,3.926,3.701,3.83311,0.96553451375,3.94230261322,3.42589738678,0.936861161021,0.0633301493341,0.0263868901586,0.0369432591754
CEM,5.235,4.5407,4.205135,1.07979886496,5.6623948117,4.6485051883,0.354180565335,0.266243914376,0.280883132798,-0.014639218422
CLT,nan,nan,nan,nan,nan,nan,nan,-0.0399055062365,-0.040158489999,0.000252983762418
CMB,15.2,14.7722,nan,nan,15.1108392982,14.6941607018,1.42795911582,0.0853647392321,0.0721880743665,0.0131766648656
CNHI,8.91,8.7064,7.3577,1.18330456529,9.16030193409,8.65169806591,0.448286012476,0.0946901043034,0.0905044115344,0.00418569276901
CPR,9.66,9.53,9.299025,1.02483862555,9.82607012098,9.55442987902,0.439920091147,0.0496610646747,0.057564551417,-0.00790348674232
DA,4.168,2.9332,nan,nan,4.09787637331,2.49732362669,1.0876242621,0.274670147519,0.225514274562,0.0491558729568
DAL,22.85,19.8212,17.883,1.10838226248,22.3939616041,18.9770383959,1.26692926246,0.648017275499,0.436721126852,0.211296148647
DANR,15.15,15.2352,13.33285,1.1426814222,15.6189334937,14.9520665063,-0.406377891099,0.0227613797349,0.0612274498789,-0.0384660701439
DEA,1.275,1.20454,1.1090175,1.08613254525,1.25870480188,1.14939519812,1.29814760206,0.0154584139576,0.00611834887611,0.0093400650815
DIB,11.75,12.3656,10.2344,1.20823888064,12.7586125471,10.5833874529,0.0726361609287,0.0145852699785,-0.0981794800256,0.112764750004
DIS,0.2895,0.28258,0.316248,0.893539247679,0.277762098163,0.221727901837,1.41895494561,-0.000257778116033,-0.00755074679594,0.00729296867991
EIT,52.3,50.472,47.14295,1.07061607303,52.4205640911,46.6384359089,0.958297676109,0.567401116679,0.0731683082959,0.494232808383
ELC,1.55,1.65956,1.734645,0.956714486249,1.62424683093,1.44675316907,0.163386115855,-0.0183863104206,-0.0302041212385,0.0118178108179
ELN,27.3,23.6312,19.1381,1.23477252183,27.9003526352,21.4636473648,0.813459647461,1.12441679137,0.794733874308,0.329682917059
EM,1.315,1.01308,0.8293525,1.2215312548,1.39604027753,0.857159722465,0.69922730827,0.0894995505134,0.0736535395978,0.0158460109156
ENEL,4.182,4.05524,3.96571,1.02257603304,4.22900363341,3.91379636659,0.70176047093,0.0464367435121,0.0310373456522,0.0153993978599
