symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.303,1.24044,1.215585,1.0204469453,1.32504204004,1.22725795996,0.549169148595,0.0104184970837,0.00939804456622,0.00102045251745
ATL,21.89,21.96,22.31655,0.984023068082,22.3801139124,21.0228860876,0.277772083,-0.0641341171004,-0.109261200835,0.0451270837342
AZM,17.03,16.5866,15.74245,1.05362253017,17.9059890481,16.4030109519,-0.165671077055,0.0521088564167,0.127844578128,-0.0757357217114
BMED,6.98,7.0556,6.5706,1.07381365477,7.55667967902,6.85232032098,-0.637458698989,-0.0245173628018,0.0265206071871,-0.0510379699889
BMPS,15.08,16.2718,4.8014,3.38896988378,15.0800010355,15.0799989645,1.54392225168e-08,0.0282741233206,0.0541523758512,-0.0258782525306
BPE,4.756,5.15456,4.10447,1.25584058356,5.89561844706,4.86148155294,-1.20399920656,-0.0340816001173,0.0585477830804,-0.0926293831977
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934688044513,0.00934795282827,-1.07238314283e-06
BP,nan,nan,nan,nan,nan,nan,nan,0.0663502398218,0.066357574276,-7.33445417597e-06
BZU,23.38,22.8884,19.1395,1.19587241046,24.2804578938,22.3805421062,0.052107572686,0.0270480607561,0.141043659967,-0.113995599211
BRE,62.1,58.505,53.5559,1.09240998657,62.4011112709,59.8338887291,0.76541864526,0.710002993076,0.820962826025,-0.110959832949
CPR,9.535,9.3359,9.18355,1.01658944526,9.66677027285,9.27472972715,0.327772220013,0.0576188700143,0.0554869740241,0.00213189599017
CNHI,8.841,8.4442,7.073775,1.19373319055,9.14942433497,8.11607566503,0.614023144803,0.158887604251,0.120044602534,0.0388430017176
ENEL,4.048,4.0506,3.95953,1.02300020457,4.2159178565,3.7752821435,0.237838189021,-0.0289716188949,-0.0379884481998,0.00901682930499
ENI,14.4,14.9848,13.8576,1.08134164646,15.9218752428,13.6561247572,-0.343374085069,-0.236781371405,-0.17516010909,-0.0616212623153
